delays,runtime,Model,Dataset
60000,1586.3677196502686,r_XGBoost,SEA_a
70000,1590.353716135025,r_XGBoost,SEA_a
0,4604.402177810669,B_XGBoost,SEA_a
1000,4468.982065439224,B_XGBoost,SEA_a
10000,4614.130700826645,B_XGBoost,SEA_a
20000,4183.637684106827,B_XGBoost,SEA_a
30000,4113.915349245071,B_XGBoost,SEA_a
40000,4085.860428094864,B_XGBoost,SEA_a
50000,3985.070698738098,B_XGBoost,SEA_a
60000,3961.445133924484,B_XGBoost,SEA_a
70000,3930.434298038482,B_XGBoost,SEA_a
0,916.9251160621644,DT,SEA_a
1000,909.7846975326538,DT,SEA_a
10000,913.7387862205504,DT,SEA_a
20000,916.78653550148,DT,SEA_a
30000,912.9937810897828,DT,SEA_a
40000,913.92049908638,DT,SEA_a
50000,911.4836490154266,DT,SEA_a
60000,914.1485781669616,DT,SEA_a
70000,916.6417376995088,DT,SEA_a
0,1684.9540576934814,ARF,SEA_g
1000,1703.041669368744,ARF,SEA_g
10000,1702.2954592704773,ARF,SEA_g
20000,1710.086998462677,ARF,SEA_g
30000,1703.4498538970947,ARF,SEA_g
40000,1713.4824888706207,ARF,SEA_g
50000,1711.5962419509888,ARF,SEA_g
60000,1711.0598084926603,ARF,SEA_g
70000,1711.748138666153,ARF,SEA_g
0,10614.217604160309,LB,SEA_g
1000,10535.552954435349,LB,SEA_g
10000,10535.18455672264,LB,SEA_g
20000,10512.941118001938,LB,SEA_g
30000,10526.092080116272,LB,SEA_g
40000,10515.570345640182,LB,SEA_g
50000,10538.309601545334,LB,SEA_g
60000,10550.822862386703,LB,SEA_g
70000,10550.970030784609,LB,SEA_g
0,747.4852261543274,LB_HT,SEA_g
1000,751.6289389133453,LB_HT,SEA_g
10000,765.907116651535,LB_HT,SEA_g
20000,746.7297270298004,LB_HT,SEA_g
30000,745.892929315567,LB_HT,SEA_g
40000,760.0139322280884,LB_HT,SEA_g
50000,757.3404569625854,LB_HT,SEA_g
60000,767.243293762207,LB_HT,SEA_g
70000,764.2775201797485,LB_HT,SEA_g
0,49.436723470687866,LR,SEA_g
1000,50.56316018104553,LR,SEA_g
10000,52.17279553413391,LR,SEA_g
20000,53.39169025421143,LR,SEA_g
30000,54.627708435058594,LR,SEA_g
40000,55.89009356498718,LR,SEA_g
50000,57.63540458679199,LR,SEA_g
60000,59.30508542060852,LR,SEA_g
70000,61.59930109977722,LR,SEA_g
0,224.3473732471466,HAT,SEA_g
1000,223.33811450004575,HAT,SEA_g
10000,225.7214267253876,HAT,SEA_g
20000,228.75146579742432,HAT,SEA_g
30000,240.33476066589355,HAT,SEA_g
40000,239.4851152896881,HAT,SEA_g
50000,236.41536474227905,HAT,SEA_g
60000,239.98577404022217,HAT,SEA_g
70000,250.09645438194275,HAT,SEA_g
0,48.8103289604187,HT,SEA_g
1000,51.933655977249146,HT,SEA_g
10000,57.17106032371521,HT,SEA_g
