Batch_len,AVG_DELAY_0,AVG_DELAY_1000,AVG_DELAY_10000,AVG_DELAY_20000,AVG_DELAY_30000,AVG_DELAY_40000,AVG_DELAY_50000,AVG_DELAY_60000,AVG_DELAY_70000,Model,Dataset
10054,0.7902706506214091,0.7938027989855576,0.7835057904772385,0.7581698377122824,0.7246188821840385,0.7091506307239132,0.6990975417878609,0.6893648730273731,0.6886007883609426,B_XGBoost,AGR_g
9993,0.7925868657194767,0.7912025757048382,0.7686729277307479,0.742143644985495,0.7055057441312198,0.6702120209593933,0.6402756827468961,0.627952190234625,0.6201744930737305,B_XGBoost,AGR_g
9854,0.9273181677286662,0.9087909802429344,0.7745016524921491,0.7418172236308367,0.7157102885568842,0.6710501027731741,0.6286423646678078,0.6006108081772982,0.5770436025014487,B_XGBoost,AGR_g
9950,0.962380950929068,0.959890709531606,0.9481323747960648,0.7718851851321964,0.7359389761944766,0.6979739626449779,0.6588625593470244,0.6128150800405874,0.546014089757338,B_XGBoost,AGR_g
10195,0.9776683665229496,0.9760104997053832,0.9702459438240684,0.9457157858412398,0.7657233132886092,0.7261904529926331,0.6943385454675521,0.635987296893147,0.5538803764816521,B_XGBoost,AGR_g
9913,0.9867639338456138,0.9863291866399236,0.9844176013781882,0.9778261805680626,0.9483854781480195,0.7569190072470934,0.7153981475508537,0.6779640664645422,0.5857240332124546,B_XGBoost,AGR_g
10056,0.9896805757396344,0.9897875199632644,0.988889404396562,0.9860917405241124,0.9816067971325416,0.956346671981384,0.7565990641348624,0.7072597423110156,0.6591917901462135,B_XGBoost,AGR_g
10016,0.989291941797602,0.9895643607338892,0.989782262347318,0.9876449989115724,0.9855309543958816,0.9778445081158266,0.9479686629936912,0.7632327628304898,0.7121272711524942,B_XGBoost,AGR_g
10015,0.9918186958401412,0.9915072833130836,0.9915780434197078,0.99164352941263,0.9902512449690554,0.9877533225305928,0.9793279915632744,0.9600999499512958,0.764083898832702,B_XGBoost,AGR_g
10018,0.9912240566227244,0.9910247329271114,0.9907859085608012,0.9909891280868984,0.9910125432641302,0.9900340462213372,0.988391139114815,0.9822501325781936,0.958208550678986,B_XGBoost,AGR_g
10048,0.9916846152083056,0.9917684818234096,0.9918577146758296,0.9918981795708316,0.9921136019708032,0.9919656853017804,0.990479226384633,0.9883956289049494,0.9799165378772776,B_XGBoost,AGR_g
